stream_id,step_index,items_processed,true_F0,hll_estimate
0,0,5000,4890,5249.52
0,1,10000,9708,10056.8
0,2,15000,14508,14610.8
0,3,20000,19311,19370.1
0,4,25000,24104,25342.6
0,5,30000,28906,29925.7
0,6,35000,33709,33943.6
0,7,40000,38498,38501.6
0,8,45000,43304,42789.1
0,9,50000,48087,47326.1
0,10,55000,52858,52651.8
0,11,60000,57617,56727.8
0,12,65000,62369,61302.8
0,13,70000,67161,66924.1
0,14,75000,71901,72013.4
0,15,80000,76654,74599.5
0,16,85000,81391,79196.3
0,17,90000,86126,84120.1
0,18,95000,90868,88214.4
0,19,100000,95601,91833.4
1,0,5000,4898,4642.38
1,1,10000,9726,9738.3
1,2,15000,14542,14768.5
1,3,20000,19366,19056.4
1,4,25000,24165,23100.5
1,5,30000,28969,28045.5
1,6,35000,33757,32138
1,7,40000,38564,37074.4
1,8,45000,43345,40733.3
1,9,50000,48120,44934.9
1,10,55000,52895,49872.9
1,11,60000,57674,53921.4
1,12,65000,62430,59013.2
1,13,70000,67205,63873.1
1,14,75000,71971,69870.8
1,15,80000,76700,75826.8
1,16,85000,81450,79610.7
1,17,90000,86185,83613.7
1,18,95000,90935,87495.3
1,19,100000,95652,92011.4
2,0,5000,4879,4847.87
2,1,10000,9708,9171.26
2,2,15000,14536,14233.2
2,3,20000,19359,19019.5
2,4,25000,24174,23812
2,5,30000,28930,28035.8
2,6,35000,33733,33428.9
2,7,40000,38517,38960.5
2,8,45000,43305,43854.7
2,9,50000,48077,48255.7
2,10,55000,52851,53315.3
2,11,60000,57626,57211.5
2,12,65000,62405,61180.9
2,13,70000,67152,65440.2
2,14,75000,71943,69796.3
2,15,80000,76668,74318.3
2,16,85000,81423,79188.3
2,17,90000,86180,84822.9
2,18,95000,90936,89446.7
2,19,100000,95662,93437.9
3,0,5000,4879,4395.43
3,1,10000,9720,9602.32
3,2,15000,14541,13976.5
3,3,20000,19337,19763.9
3,4,25000,24129,25456.9
3,5,30000,28909,29842.7
3,6,35000,33702,34084.3
3,7,40000,38475,38198.9
3,8,45000,43262,41878.6
3,9,50000,48049,46436
3,10,55000,52810,50777.2
3,11,60000,57576,55359.4
3,12,65000,62362,61257
3,13,70000,67111,65703.6
3,14,75000,71891,70837.3
3,15,80000,76659,73839.9
3,16,85000,81418,79949
3,17,90000,86189,83241.3
3,18,95000,90930,87390.2
3,19,100000,95672,91802.4
4,0,5000,4899,4970.39
4,1,10000,9719,9870.17
4,2,15000,14540,14616.5
4,3,20000,19334,19194.5
4,4,25000,24139,24261
4,5,30000,28937,29284.4
4,6,35000,33743,34577.7
4,7,40000,38508,40040.6
4,8,45000,43292,44308.6
4,9,50000,48104,50153.2
4,10,55000,52866,53027.8
4,11,60000,57644,57990.2
4,12,65000,62404,62659.8
4,13,70000,67183,67225.8
4,14,75000,71916,72157
4,15,80000,76668,77262.9
4,16,85000,81414,81731.6
4,17,90000,86158,85403.6
4,18,95000,90900,91465.3
4,19,100000,95636,94993
