stream_id,step_index,items_processed,true_F0,hll_estimate_base,hll_estimate_packed6
0,0,5000,4883,4968.48,4968.48
0,1,10000,9697,10297.8,10297.8
0,2,15000,14504,15573,15573
0,3,20000,19306,19880.7,19880.7
0,4,25000,24081,24399.9,24399.9
0,5,30000,28894,28977.1,28977.1
0,6,35000,33674,34211,34211
0,7,40000,38454,39462.8,39462.8
0,8,45000,43219,44423.1,44423.1
0,9,50000,48000,49251.1,49251.1
0,10,55000,52765,53428.8,53428.8
0,11,60000,57522,57325.8,57325.8
0,12,65000,62262,63218,63218
0,13,70000,67026,68087.5,68087.5
0,14,75000,71754,73029,73029
0,15,80000,76499,78242.7,78242.7
0,16,85000,81261,82947.6,82947.6
0,17,90000,86004,86930.8,86930.8
0,18,95000,90756,92628.4,92628.4
0,19,100000,95508,99778.5,99778.5
1,0,5000,4901,4642.38,4642.38
1,1,10000,9713,10020.7,10020.7
1,2,15000,14531,15197.4,15197.4
1,3,20000,19341,19319.5,19319.5
1,4,25000,24154,25004.7,25004.7
1,5,30000,28947,29393.4,29393.4
1,6,35000,33755,34124.8,34124.8
1,7,40000,38548,38842.2,38842.2
1,8,45000,43339,43800.6,43800.6
1,9,50000,48121,48437.5,48437.5
1,10,55000,52902,52712,52712
1,11,60000,57681,56446.3,56446.3
1,12,65000,62458,60172.7,60172.7
1,13,70000,67211,65495.8,65495.8
1,14,75000,71989,70521.1,70521.1
1,15,80000,76748,75205.7,75205.7
1,16,85000,81503,80311.8,80311.8
1,17,90000,86247,86755.4,86755.4
1,18,95000,90989,91394,91394
1,19,100000,95729,95799.1,95799.1
2,0,5000,4886,4739.98,4739.98
2,1,10000,9711,9283.66,9283.66
2,2,15000,14529,14216.1,14216.1
2,3,20000,19338,19576.5,19576.5
2,4,25000,24133,24631.2,24631.2
2,5,30000,28920,29542,29542
2,6,35000,33678,34042.9,34042.9
2,7,40000,38474,38478.9,38478.9
2,8,45000,43260,43480.5,43480.5
2,9,50000,48035,48117.4,48117.4
2,10,55000,52808,53147.1,53147.1
2,11,60000,57593,57561.2,57561.2
2,12,65000,62367,62945,62945
2,13,70000,67106,66031.3,66031.3
2,14,75000,71850,70246,70246
2,15,80000,76616,74649,74649
2,16,85000,81358,79617.3,79617.3
2,17,90000,86105,83550.9,83550.9
2,18,95000,90834,87955.9,87955.9
2,19,100000,95576,94481,94481
3,0,5000,4895,5175.11,5175.11
3,1,10000,9695,10161.1,10161.1
3,2,15000,14512,14428.7,14428.7
3,3,20000,19318,19003.2,19003.2
3,4,25000,24128,23891.7,23891.7
3,5,30000,28910,29448.5,29448.5
3,6,35000,33718,33432.2,33432.2
3,7,40000,38514,38494.7,38494.7
3,8,45000,43277,43730.9,43730.9
3,9,50000,48057,48450.9,48450.9
3,10,55000,52804,52480.2,52480.2
3,11,60000,57551,56125,56125
3,12,65000,62315,61140.2,61140.2
3,13,70000,67046,66833.8,66833.8
3,14,75000,71815,72326.1,72326.1
3,15,80000,76564,78235.6,78235.6
3,16,85000,81316,84181.1,84181.1
3,17,90000,86074,88213.5,88213.5
3,18,95000,90807,94277.6,94277.6
3,19,100000,95566,100731,100731
4,0,5000,4868,5105.22,5105.22
4,1,10000,9660,9773.6,9773.6
4,2,15000,14476,14667.2,14667.2
4,3,20000,19292,19343,19343
4,4,25000,24086,24493,24493
4,5,30000,28882,28882.6,28882.6
4,6,35000,33665,33524.9,33524.9
4,7,40000,38469,37418.7,37418.7
4,8,45000,43276,43349.5,43349.5
4,9,50000,48028,48822.6,48822.6
4,10,55000,52783,53012.7,53012.7
4,11,60000,57555,57762.2,57762.2
4,12,65000,62341,62138.6,62138.6
4,13,70000,67106,67779.7,67779.7
4,14,75000,71855,71670.2,71670.2
4,15,80000,76615,76727.4,76727.4
4,16,85000,81382,81234.9,81234.9
4,17,90000,86126,87336.5,87336.5
4,18,95000,90883,91579.6,91579.6
4,19,100000,95650,96844.1,96844.1
